IncidntNum,X_pr,Y_pr,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y,geometry,DateTime,Hour
120774644,6000421.000100452,2119221.0000164714,CAR THEFT,STOLEN TRUCK,Thursday,2012-09-27,00:00:00,NORTHERN,NONE,DIVISADERO ST / LOMBARD ST,-122.442649696,37.798999247,POINT (6000421.000100452 2119221.0000164714),2012-09-27,0
120771264,6009643.702751873,2086610.7048494832,CAR THEFT,STOLEN AUTOMOBILE,Tuesday,2012-09-25,00:00:00,INGLESIDE,NONE,900 Block of RUTLAND ST,-122.408434447,37.7099801051,POINT (6009643.702751873 2086610.7048494832),2012-09-25,0
120771383,6003938.999986326,2114938.000014046,CAR THEFT,STOLEN AUTOMOBILE,Tuesday,2012-09-25,00:00:00,NORTHERN,NONE,BUSH ST / BUCHANAN ST,-122.430170529,37.7874391353,POINT (6003938.999986326 2114938.000014046),2012-09-25,0
120752220,5993550.45972375,2090116.2631655165,CAR THEFT,STOLEN AUTOMOBILE,Saturday,2012-09-15,00:00:00,TARAVAL,NONE,600 Block of HEAD ST,-122.464309678,37.7186911554,POINT (5993550.45972375 2090116.2631655165),2012-09-15,0
120755036,5982943.917695932,2109672.019750575,CAR THEFT,STOLEN TRUCK,Wednesday,2012-09-19,00:00:00,RICHMOND,NONE,6600 Block of FULTON ST,-122.502418146,37.7717687936,POINT (5982943.917695932 2109672.019750575),2012-09-19,0
120756404,6008046.24011675,2092821.544339965,CAR THEFT,STOLEN AUTOMOBILE,Wednesday,2012-09-19,00:00:00,BAYVIEW,NONE,200 Block of UNIVERSITY ST,-122.414394773,37.7269441755,POINT (6008046.24011675 2092821.544339965),2012-09-19,0
120757208,6001541.950798028,2088956.6490357528,CAR THEFT,STOLEN AUTOMOBILE,Thursday,2012-09-20,00:00:00,INGLESIDE,NONE,400 Block of AMAZON AV,-122.43660341,37.7159645111,POINT (6001541.950798028 2088956.6490357528),2012-09-20,0
120706534,5994603.611923911,2087443.930925831,CAR THEFT,STOLEN AUTOMOBILE,Sunday,2012-09-02,00:00:00,TARAVAL,NONE,200 Block of SAGAMORE ST,-122.460475849,37.7114142123,POINT (5994603.611923911 2087443.930925831),2012-09-02,0
120720095,6002231.2500489,2094958.4013257062,CAR THEFT,STOLEN TRUCK,Friday,2012-09-07,00:00:00,INGLESIDE,NONE,0 Block of MONTEREY BL,-122.434649783,37.7324831201,POINT (6002231.2500489 2094958.4013257062),2012-09-07,0
120725186,6011134.588823486,2107198.2171437116,CAR THEFT,STOLEN AUTOMOBILE,Monday,2012-09-10,00:00:00,SOUTHERN,NONE,200 Block of VERMONT ST,-122.40473004,37.766592406,POINT (6011134.588823486 2107198.2171437116),2012-09-10,0
120730787,5999352.754190336,2103982.1969939424,CAR THEFT,STOLEN AUTOMOBILE,Tuesday,2012-09-11,00:00:00,PARK,NONE,100 Block of GRAYSTONE TR,-122.445249948,37.7570964581,POINT (5999352.754190336 2103982.1969939424),2012-09-11,0
